"","date_formated","count"
"1",2020-02-27,249
"2",2020-02-28,295
"3",2020-02-29,100
"4",2020-03-01,125
"5",2020-03-02,414
"6",2020-03-03,430
"7",2020-03-04,449
"8",2020-03-05,695
"9",2020-03-06,525
"10",2020-03-07,360
"11",2020-03-08,247
"12",2020-03-09,1000
"13",2020-03-10,1153
"14",2020-03-11,1055
"15",2020-03-12,992
"16",2020-03-13,997
"17",2020-03-14,310
"18",2020-03-15,132
"19",2020-03-16,821
"20",2020-03-17,865
"21",2020-03-18,782
"22",2020-03-19,989
"23",2020-03-20,727
"24",2020-03-21,201
"25",2020-03-22,219
"26",2020-03-23,858
"27",2020-03-24,891
"28",2020-03-25,912
"29",2020-03-26,1021
"30",2020-03-27,1184
"31",2020-03-28,428
"32",2020-03-29,184
"33",2020-03-30,627
"34",2020-03-31,522
"35",2020-04-01,709
"36",2020-04-02,1097
"37",2020-04-03,759
"38",2020-04-04,528
"39",2020-04-05,195
"40",2020-04-06,604
"41",2020-04-07,690
"42",2020-04-08,845
"43",2020-04-09,866
"44",2020-04-10,707
"45",2020-04-11,687
"46",2020-04-12,149
"47",2020-04-13,721
"48",2020-04-14,881
"49",2020-04-15,361
"50",2020-04-16,591
"51",2020-04-17,474
"52",2020-04-18,142
"53",2020-04-19,184
"54",2020-04-20,432
"55",2020-04-21,539
"56",2020-04-22,679
"57",2020-04-23,531
"58",2020-04-24,480
"59",2020-04-25,245
"60",2020-04-26,177
"61",2020-04-27,743
"62",2020-04-28,952
"63",2020-04-29,764
"64",2020-04-30,765
"65",2020-05-01,880
"66",2020-05-02,518
"67",2020-05-03,366
"68",2020-05-04,789
"69",2020-05-05,1063
"70",2020-05-06,1232
"71",2020-05-07,1249
"72",2020-05-08,874
"73",2020-05-09,345
"74",2020-05-10,348
"75",2020-05-11,1016
"76",2020-05-12,767
"77",2020-05-13,744
"78",2020-05-14,750
"79",2020-05-15,767
"80",2020-05-16,314
"81",2020-05-17,127
